"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","cumlogit","model","category","effectsize","truemod","controlprob","sampsize"
"1",-0.00624608386945323,0.00305964079766072,-0.00622661763792634,0.00304056909082549,0.762,0.0134735866619668,0.00939105397260348,0.000397683858734698,1,"PO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"2",-0.00624608386945323,0.00305964079766072,-0.00622661763792634,0.00304056909082549,0.762,0.0134735866619668,0.00939105397260348,0.000397683858734698,2,"PO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"3",-0.00130729347414932,0.00387778756270707,-0.00130643933827819,0.00387271315674443,0.777,0.0131698308434253,0.0150239081613317,0.000635848068491392,1,"PPO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"4",-0.00814398365547355,0.00373514672768868,-0.00811091126182535,0.00370481601339647,0.7,0.014498627873361,0.0140036942260667,0.000607332772477129,2,"PPO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"5",-0.00126809142694826,0.00387630399899539,-0.00126728773876731,0.00387138332101111,0.779,0.0131275028596959,0.0150123150158021,0.000635628723876124,1,"CPO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"6",-0.00810981175977809,0.00373536613722494,-0.00807701595221336,0.0037051602117786,0.698,0.0145260802354592,0.0140047762657266,0.000607390765211773,2,"CPO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"7",-0.00131663865028087,0.00387627647625997,-0.00131577226189495,0.00387116782712964,0.778,0.0131487219488771,0.0150122273384214,0.00063556211751417,1,"LCPO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"8",-0.00816545108650975,0.00373528334558195,-0.00813220434387867,0.00370487190933366,0.698,0.0145260802354592,0.0140050639215563,0.000607466795983055,2,"LCPO",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"9",-0.00142997000340609,0.00387764390627976,-0.00142894808346374,0.00387209456966943,0.779,0.0131275028596959,0.0150231309558553,0.000635773662326286,1,"LR",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
"10",-0.00818758594376355,0.00373775002688118,-0.00815415895296818,0.00370723640447212,0.698,0.0145260802354592,0.0140238410517733,0.000607451352351316,2,"LR",3,"Small [1.10]","Random PO [moderate violation]","Skewed",4000
