"bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","cumlogit","model","category","effectsize","truemod","controlprob","sampsize"
0.000981284042501118,0.0029821988328073,0.000981765659208526,0.00298512980476351,0.949,0.00696042006257131,0.0088855792868909,0.000383851043699537,1,"PO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.000981284042501118,0.0029821988328073,0.000981765659208526,0.00298512980476351,0.949,0.00696042006257131,0.0088855792868909,0.000383851043699537,2,"PO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.000981284042501118,0.0029821988328073,0.000981765659208526,0.00298512980476351,0.949,0.00696042006257131,0.0088855792868909,0.000383851043699537,3,"PO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.000981284042501118,0.0029821988328073,0.000981765659208526,0.00298512980476351,0.949,0.00696042006257131,0.0088855792868909,0.000383851043699537,4,"PO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.000981284042501118,0.0029821988328073,0.000981765659208526,0.00298512980476351,0.949,0.00696042006257131,0.0088855792868909,0.000383851043699537,5,"PO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.000981284042501118,0.0029821988328073,0.000981765659208526,0.00298512980476351,0.949,0.00696042006257131,0.0088855792868909,0.000383851043699537,6,"PO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.00709093891743229,0.00753626783671554,0.00711613915402983,0.00758982372608668,0.936,0.0077436402269192,0.0567888189885371,0.00251669490169452,1,"PPO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.00284958000827261,0.00427082168118485,0.00285364392061534,0.00428300502197326,0.948,0.00702462421381771,0.0182297980208696,0.000835645912915364,2,"PPO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.00160186372676481,0.00362664275463201,0.00160314739579374,0.00363244723741764,0.936,0.0077436402269192,0.0131419510994542,0.000572920755095995,3,"PPO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.0036241113745699,0.00333871062890237,0.00363068640668107,0.0033508271613382,0.942,0.00739531545579282,0.0111489758581374,0.000483465175278716,4,"PPO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.00164386576169787,0.0038838682297283,0.0016452176496918,0.00389024927369041,0.949,0.00696042006257131,0.0150720502881094,0.000689300737400879,5,"PPO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
0.00109142024249315,0.00585385249263503,0.00109201605830804,0.00586025134501415,0.961,0.00612507277642599,0.0342345126146696,0.00151585544838694,6,"PPO",7,"Moderate [1.50]","Random PO [no violation]","Symmetric",1500
