"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","cumlogit","model","category","effectsize","truemod","controlprob","sampsize"
"1",-0.00335426977497554,0.00218629514710363,-0.00334865049672799,0.00217897105372195,0.901,0.00944924802766253,0.00478635770950196,0.000204766235472483,1,"PO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"2",-0.00335426977497554,0.00218629514710363,-0.00334865049672799,0.00217897105372195,0.901,0.00944924802766253,0.00478635770950196,0.000204766235472483,2,"PO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"3",-0.00577527102138617,0.00275969816318213,-0.00575862620189756,0.0027437947990058,0.89,0.00989939381972419,0.00764167177328944,0.000332505167514948,1,"PPO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"4",-0.000832626123775858,0.00275569881079393,-0.000832279586830157,0.00275339655724349,0.887,0.0100165528666965,0.00758697532613724,0.00034943872131459,2,"PPO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"5",-0.00588446438762246,0.00275980995466588,-0.00586718483730466,0.00274360651704731,0.888,0.00997775303139695,0.00764356135601624,0.000332822168070134,1,"CPO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"6",-0.000848140344653117,0.00275569232027266,-0.000847780775293289,0.00275334753355888,0.887,0.0100165528666965,0.00758696566588992,0.000349051966457199,2,"CPO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"7",-0.00582143079155582,0.00275993809411718,-0.00580451909599443,0.00274390707838636,0.888,0.00997775303139695,0.00764353008153669,0.000332541403363296,1,"LCPO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"8",-0.000853947357073171,0.00275536638251171,-0.000853582847793516,0.00275300558896489,0.887,0.0100165528666965,0.00758518108406246,0.000349120555975702,2,"LCPO",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"9",-0.00586463417302312,0.00276015399891199,-0.00584747077477334,0.00274400289498988,0.891,0.0098598284070369,0.00764522558159553,0.000332382445765451,1,"LR",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
"10",-0.000846809569994395,0.00275640183506254,-0.000846451127954996,0.00275406002917166,0.888,0.00997775303139695,0.00759087041170761,0.000349265194618697,2,"LR",3,"Small [1.10]","Random PO [slight violation]","Symmetric",4000
