"bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","cumlogit","model","category","effectsize","truemod","controlprob","sampsize"
0.0369336569920106,0.00176588768907746,0.0376241794453828,0.0018323223257601,0.912,0.00896305396259181,0.00447933598990839,0.000193258656289343,1,"PO",3,"0.06 increase","Linear","Skewed",4000
-0.0230663430079894,0.00176588768907746,-0.0228023486088802,0.00172561618049546,0.95,0.00689547297489776,0.00364729715086712,0.000150096551496996,2,"PO",3,"0.06 increase","Linear","Skewed",4000
-0.00463189518026167,0.00234935244839895,-0.00462118449708296,0.00233850314959989,0.957,0.0064181143797996,0.00553539192283225,0.00023090948292674,1,"PPO",3,"0.06 increase","Linear","Skewed",4000
-0.000472268015118826,0.00190049516981115,-0.00047215651413323,0.00189959364538994,0.963,0.00597215762239017,0.00360849304566313,0.000149285875451745,2,"PPO",3,"0.06 increase","Linear","Skewed",4000
-0.00462439659637378,0.00235099497274871,-0.00461372053755016,0.00234015565979448,0.956,0.00648892179842724,0.00554303522840836,0.000231295723456582,1,"CPO",3,"0.06 increase","Linear","Skewed",4000
-0.000484394926554032,0.00190068871706888,-0.000484277626272291,0.00189976404861953,0.963,0.00597215762239017,0.00360923962003863,0.000149167390868892,2,"CPO",3,"0.06 increase","Linear","Skewed",4000
-0.00467172095764823,0.00235253422654164,-0.00466082544283347,0.00234157715727293,0.957,0.0064181143797996,0.00555070784646896,0.000231678129815132,1,"LCPO",3,"0.06 increase","Linear","Skewed",4000
-0.000465090582658302,0.00190135225457723,-0.00046498244479861,0.0019004641646748,0.963,0.00597215762239017,0.00361174156484002,0.000149330881241487,2,"LCPO",3,"0.06 increase","Linear","Skewed",4000
-0.00462697859201524,0.00234939669508908,-0.00461629061726726,0.00233855858128751,0.956,0.00648892179842724,0.00553555409695557,0.000230982281814509,1,"LR",3,"0.06 increase","Linear","Skewed",4000
-0.000452986370545864,0.00190045321403995,-0.000452883787710119,0.00189958861858393,0.962,0.00604918115058484,0.00360831589298794,0.000149165181117877,2,"LR",3,"0.06 increase","Linear","Skewed",4000
