"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","cumlogit","model","category","effectsize","truemod","controlprob","sampsize"
"1",-0.00350484120478625,0.00215436805700749,-0.00349870641809469,0.00214681957528968,0.908,0.00914437639315194,0.00464894433519996,0.000197514117335697,1,"PO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"2",-0.00350484120478625,0.00215436805700749,-0.00349870641809469,0.00214681957528968,0.908,0.00914437639315194,0.00464894433519996,0.000197514117335697,2,"PO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"3",-0.00435467162976211,0.00282200113566997,-0.0043452037953496,0.0028097302274229,0.89,0.0098993938197242,0.00797468988431593,0.000344255791420303,1,"PPO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"4",-0.0024202819802089,0.00263595858555228,-0.00241735545925511,0.00262957216198064,0.896,0.00965801621852402,0.00694718715194573,0.000303569229783872,2,"PPO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"5",-0.00434943232499274,0.00282417884076407,-0.00433998724276178,0.00281191314565474,0.89,0.0098993938197242,0.00798692770004455,0.000344940201087802,1,"CPO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"6",-0.00241569501705748,0.00263570870788849,-0.00241277957392934,0.0026293347810264,0.896,0.00965801621852402,0.00694584901486182,0.000303670558121345,2,"CPO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"7",-0.00435073772707388,0.00282508553141208,-0.0043412869785661,0.00281281230520991,0.89,0.0098993938197242,0.00799205607030384,0.000345117220428749,1,"LCPO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"8",-0.00239791356825035,0.00263599377535014,-0.00239504087012928,0.00262966600589563,0.898,0.00957536880165373,0.0069472647099818,0.000303725345661344,2,"LCPO",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"9",-0.00443202691353886,0.0028252002809571,-0.00442221997581112,0.00281269799550991,0.891,0.0098598284070369,0.00799341773345488,0.000345067901803862,1,"LR",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
"10",-0.00246090930023561,0.00263612668776357,-0.00245788374532463,0.00262963289663346,0.899,0.00953361892934189,0.0069482708246094,0.0003040694706211,2,"LR",3,"Moderate [1.50]","Random PO [slight violation]","Symmetric",4000
