"bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","cumlogit","model","category","effectsize","truemod","controlprob","sampsize"
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,1,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,2,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,3,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,4,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,5,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,6,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,7,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,8,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,9,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-4.43196089732806e-05,0.0029651983245967,-4.43186268738284e-05,0.00296507091753856,0.941,0.00745483565040652,0.0087836106673146,0.000407294053623227,10,"PO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
0.0169052971092843,0.00868229099960442,0.0170490002839984,0.00883015046956649,0.95,0.00689547297489776,0.0755925838951633,0.00342003535854025,1,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
0.00913629526747393,0.00583681175512612,0.00917815860790135,0.00589037784879201,0.939,0.0075720760915573,0.0341177749845281,0.00168616822648461,2,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
0.00295001583772143,0.00479590146723301,0.00295437141639831,0.00481006869324772,0.932,0.00796488791129144,0.0229863728059672,0.00101860361704878,3,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
0.00197140562336543,0.00415983615099183,0.00197335012101921,0.00416802564589582,0.923,0.0084345801402414,0.0172908190064273,0.000776183087648857,4,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.00162928662954507,0.00387071535700485,-0.00162796006263485,0.00386443649546554,0.917,0.00872852720607456,0.0149701095124994,0.000655627820264883,5,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.00330238775881953,0.00376680627911654,-0.00329694087392312,0.00375440194113602,0.912,0.00896305396259181,0.014185546479757,0.000627071372244821,6,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.000290686062734385,0.00368507353394659,-0.000290643817634318,0.00368401429910647,0.92,0.00858333697775349,0.0135662716820301,0.000604774208492289,7,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
0.000533895703679762,0.0038063748021661,0.000534038251358358,0.00380842991212454,0.916,0.00877616208949092,0.0144742856900529,0.000771145510682625,8,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.000627090502616754,0.0039770508208809,-0.000626893922460837,0.00397454023514552,0.931,0.00801893405031494,0.015801509541136,0.00068072577308842,9,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
0.00252887000692622,0.00486697983430182,0.0025320702958184,0.00487932678321793,0.938,0.00762982399628094,0.023670200398305,0.00105484143660435,10,"PPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.000247158545900192,0.00299676662399053,-0.000247128004743055,0.00299602763629134,0.938,0.00762982399628094,0.00897169067581175,0.000422872092092167,1,"CPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.000247158545900192,0.00299676662399053,-0.000247128004743055,0.00299602763629134,0.938,0.00762982399628094,0.00897169067581175,0.000422872092092167,2,"CPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.000247158545900192,0.00299676662399053,-0.000247128004743055,0.00299602763629134,0.938,0.00762982399628094,0.00897169067581175,0.000422872092092167,3,"CPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.000247158545900192,0.00299676662399053,-0.000247128004743055,0.00299602763629134,0.938,0.00762982399628094,0.00897169067581175,0.000422872092092167,4,"CPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
-0.000247158545900192,0.00299676662399053,-0.000247128004743055,0.00299602763629134,0.938,0.00762982399628094,0.00897169067581175,0.000422872092092167,5,"CPO",11,"Small [1.10]","Random PO [slight violation]","Skewed",1500
