"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","cumlogit","model","category","effectsize","truemod","controlprob","sampsize"
"1",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,1,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"2",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,2,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"3",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,3,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"4",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,4,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"5",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,5,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"6",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,6,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"7",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,7,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"8",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,8,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"9",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,9,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"10",0.00308208153176042,0.00321379757180489,0.00308683602837186,0.00322372066845132,0.923,0.0084345801402414,0.0103276655642749,0.00044898045861826,10,"PO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"11",0.0224524979791802,0.00997578470456448,0.022706452387395,0.0102021831367344,0.932,0.00796488791129144,0.0999208788568558,0.00458740005360973,1,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"12",0.0111481874049043,0.00681720251386624,0.0112105600111252,0.00689364361372351,0.909,0.00909954953840013,0.046552057947364,0.00225031504374149,2,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"13",0.0200893310423727,0.00575465697043002,0.0202924797466329,0.00587138770075463,0.907,0.00918887563499646,0.0334865419922015,0.0017061383813372,3,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"14",0.00698218377091661,0.00522734267810163,0.00700661604646665,0.00526408767512155,0.886,0.0100551034358231,0.0273465372530392,0.00165199396325989,4,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"15",-0.000721555820446476,0.00488729430475396,-0.00072129556164624,0.0048839020690427,0.867,0.0107436691323971,0.0238622806184612,0.001470681321855,5,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"16",0.00383472911502486,0.00495658827449069,0.00384209109611078,0.00497572920906897,0.842,0.0115398946775594,0.0245579047028813,0.00158046873929077,6,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"17",0.00548209747967768,0.0047350636653123,0.00549715167301246,0.00476098338919088,0.84,0.0115989022986901,0.0224284604794229,0.00131259915241806,7,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"18",0.00612736837959664,0.00478424682299195,0.00614617910167503,0.00481359773716136,0.833,0.0118004343246443,0.0229036732889046,0.00103911818250808,8,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"19",0.00172146203043248,0.00494045222011535,0.00172294459679886,0.00494898979090085,0.847,0.0113895004596652,0.0243866235026257,0.00108356282156374,9,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"20",0.00419677424936691,0.0056680365914626,0.00420559303892413,0.00569186590995839,0.875,0.0104634833819565,0.032112125077457,0.0013790772439149,10,"PPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"21",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,1,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"22",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,2,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"23",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,3,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"24",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,4,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"25",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,5,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"26",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,6,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"27",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,7,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"28",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,8,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"29",0.00284156721291395,0.00330479937858038,0.00284560829178589,0.00331420440216254,0.925,0.00833333333333315,0.0109188517379581,0.000483977592113307,9,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"30",0.00572503715437939,0.00568128052562018,0.00574145649841921,0.00571386611161615,0.831,0.0118566259778899,0.0322774475127994,0.00139914478358802,10,"CPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"31",-0.0914852355535895,0.00626557976996991,-0.0874252102858755,0.00571783287021261,0.873,0.0105347986208554,0.0475877806882982,0.00222635642189078,1,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"32",-0.075678249927312,0.00546907422070167,-0.0728855422801956,0.00507046844698694,0.875,0.0104634833819565,0.0356080595707727,0.00165410236297132,2,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"33",-0.0598577219664831,0.00472843173754634,-0.0581014644773369,0.00445370583732122,0.889,0.00993870101058459,0.0259186555089557,0.00119503873233862,3,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"34",-0.0440218607711772,0.00407765311098962,-0.0430669620497855,0.00390204077730039,0.897,0.00961683333969552,0.0185485518644267,0.000849696600490515,4,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"35",-0.0281993843926048,0.00356491069489822,-0.0278054929356985,0.00346578661962334,0.916,0.00877616208949092,0.013491084954459,0.000613092458951221,5,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"36",-0.0123887977368665,0.00325639129516935,-0.0123123725132914,0.0032162993560673,0.927,0.00823035471524379,0.0107469624923524,0.000479973424913626,6,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"37",0.00338162441178943,0.00321184753498696,0.00338734855410176,0.00322272902239215,0.927,0.00823035471524379,0.0103170840070762,0.00044887905457899,7,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"38",0.0191268225594409,0.00344056069821296,0.0193109120392066,0.00350699668309482,0.907,0.00918887563499646,0.0121914558013899,0.000532008065779164,8,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"39",0.0348707958195168,0.00389604188070981,0.0354859110476561,0.00403427810837151,0.878,0.0103548647129365,0.0163799355949951,0.000738915505275859,9,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
"40",0.0506293189286812,0.00450871812432346,0.0519328893937439,0.00474282958072232,0.871,0.0106052567847962,0.0228715385206605,0.00106680677485792,10,"LCPO",11,"Moderate [1.50]","Random PO [moderate violation]","Skewed",1500
